unnamed:_0,job_title,salary_estimate,job_description,rating,company_name,location,headquarters,size,founded,type_of_ownership,industry,sector,revenue,competitors,min_salary,max_salary,company_name_clean,avg_salary,min_salary_norm,max_salary_norm,avg_salary_norm,type_of_ownership_encoded,industry_encoded,sector_encoded,salary_range,city,state,company_size_encoded,revenue_million,company_age,job_title_simplified
41,data analyst,$64K-$112K (Glassdoor est.),Job Description,4.2,"sauce labs
4.2","san francisco, ca","san francisco, ca",201 to 500 employees,2008,company - private,it services,information technology,$50 to $100 million (usd),"BrowserStack, Selenium Master, Perfecto Mobile",,,sauce labs,,0.0,0.0,0.0,2,35,13,,san francisco,ca,3.0,75.0,18,analyst
42,data scientist,-1,Job Description,4.1,"amount
4.1","chicago, il","chicago, il",201 to 500 employees,2015,company - private,enterprise software & network solutions,information technology,unknown / non-applicable,-1,,,amount,,0.0,0.0,0.0,2,19,13,,chicago,il,3.0,0.0,11,scientist
43,data engineer,$68K-$129K (Glassdoor est.),Job Description,3.6,"persivia
3.6","marlborough, ma","lowell, ma",1 to 50 employees,-1,company - private,-1,-1,less than $1 million (usd),-1,,,persivia,,0.0,0.0,0.0,2,0,0,,marlborough,ma,1.0,0.5,2027,engineer
44,data scientist - algorithms & inference,$110K-$175K (Glassdoor est.),Job Description,4.2,"nuna
4.2","san francisco, ca","san francisco, ca",51 to 200 employees,2010,company - private,enterprise software & network solutions,information technology,unknown / non-applicable,-1,,,nuna,,0.0,0.0,0.0,2,19,13,,san francisco,ca,2.0,0.0,16,scientist
45,scientist,$52K-$113K (Glassdoor est.),Job Description,3.4,"edgewell personal care
3.4","allendale, nj","shelton, ct",5001 to 10000 employees,2015,company - public,consumer products manufacturing,manufacturing,$2 to $5 billion (usd),"Unilever, Procter & Gamble, Henkel",,,edgewell personal care,,0.0,0.0,0.0,3,15,15,,allendale,nj,6.0,3500.0,11,scientist
46,senior data scientist,$110K-$150K(Employer est.),Job Description,4.3,"equity residential
4.3","chicago, il","chicago, il",1001 to 5000 employees,1993,company - public,real estate,real estate,$2 to $5 billion (usd),"UDR, AvalonBay Communities, Essex Property Trust",,,equity residential,,0.0,0.0,0.0,3,45,20,,chicago,il,5.0,3500.0,33,scientist
47,data science analyst,-1,Job Description,5.0,"brightside
5.0","chandler, az","san francisco, ca",51 to 200 employees,2017,company - private,investment banking & asset management,finance,unknown / non-applicable,-1,,,brightside,,0.0,0.0,0.0,2,34,10,,chandler,az,2.0,0.0,9,analyst
48,data scientist,Employer Provided Salary:$150K-$160K,Job Description,5.0,"bpa services
5.0","washington, dc","alexandria, va",Unknown,-1,company - private,enterprise software & network solutions,information technology,unknown / non-applicable,-1,0.15,0.16,bpa services,0.155,0.75,0.64,0.6888888888888889,2,19,13,0.010000000000000009,washington,dc,0.0,0.0,2027,scientist
49,lead data scientist,$158K-$211K (Glassdoor est.),Job Description,3.7,"visa inc.
3.7","bellevue, wa","foster city, ca",10000+ employees,1958,company - public,it services,information technology,$10+ billion (usd),"American Express, Mastercard, Discover",,,visa inc.,,0.0,0.0,0.0,3,35,13,,bellevue,wa,7.0,10000.0,68,scientist
50,associate data analyst,$20K-$39K (Glassdoor est.),Job Description,3.1,"intrado
3.1","longmont, co","omaha, ne",5001 to 10000 employees,1986,company - private,enterprise software & network solutions,information technology,$2 to $5 billion (usd),-1,,,intrado,,0.0,0.0,0.0,2,19,13,,longmont,co,6.0,3500.0,40,analyst
51,spectral scientist/engineer,$56K-$117K (Glassdoor est.),Job Description,4.7,"centauri
4.7","beavercreek, oh","chantilly, va",501 to 1000 employees,1999,company - private,aerospace & defense,aerospace & defense,$100 to $500 million (usd),"TASC, Vencore, Booz Allen Hamilton",,,centauri,,0.0,0.0,0.0,2,3,2,,beavercreek,oh,4.0,300.0,27,scientist
52,college hire - data scientist - open to december 2019 graduates,$63K-$99K (Glassdoor est.),Job Description,3.7,"caterpillar
3.7","peoria, il","deerfield, il",10000+ employees,1925,company - public,industrial manufacturing,manufacturing,$10+ billion (usd),"John Deere, Komatsu, CNH Industrial",,,caterpillar,,0.0,0.0,0.0,3,30,15,,peoria,il,7.0,10000.0,101,scientist
53,data engineer,-1,Job Description,4.5,"anson mccade
4.5","kingdom, il","london, united kingdom",51 to 200 employees,2000,company - private,staffing & outsourcing,business services,$1 to $5 million (usd),-1,,,anson mccade,,0.0,0.0,0.0,2,51,6,,kingdom,il,2.0,3.0,26,engineer
54,data scientist,$68K-$114K (Glassdoor est.),Job Description,3.8,"zimmerman advertising
3.8","fort lauderdale, fl","fort lauderdale, fl",501 to 1000 employees,1984,subsidiary or business segment,advertising & marketing,business services,unknown / non-applicable,-1,,,zimmerman advertising,,0.0,0.0,0.0,11,2,6,,fort lauderdale,fl,4.0,0.0,42,scientist
55,"data scientist, office of data science",$86K-$143K (Glassdoor est.),Job Description,3.3,"liberty mutual insurance
3.3","boston, ma","boston, ma",10000+ employees,1912,company - private,insurance carriers,insurance,$10+ billion (usd),"Travelers, Allstate, State Farm",,,liberty mutual insurance,,0.0,0.0,0.0,2,32,14,,boston,ma,7.0,10000.0,114,scientist
56,data science analyst,$41K-$95K (Glassdoor est.),Job Description,4.6,"torch technologies, inc.
4.6","huntsville, al","huntsville, al",1001 to 5000 employees,2002,company - private,aerospace & defense,aerospace & defense,$100 to $500 million (usd),-1,,,"torch technologies, inc.",,0.0,0.0,0.0,2,3,2,,huntsville,al,5.0,300.0,24,analyst
57,data scientist,$86K-$144K (Glassdoor est.),Job Description,3.7,"swiss re
3.7","armonk, ny","zurich, switzerland",10000+ employees,1863,company - public,insurance agencies & brokerages,insurance,$10+ billion (usd),"Munich Re, Hannover RE, SCOR",,,swiss re,,0.0,0.0,0.0,3,31,14,,armonk,ny,7.0,10000.0,163,scientist
